GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
VAV3,3,yes,no,no,no,no,no,no,no,no,317
CASP8,3,yes,no,no,no,no,no,no,no,no,318
EPHA5,3,yes,no,no,no,no,no,no,no,no,319
MMP2,3,yes,no,no,no,no,no,no,no,no,320
LIMK1,3,yes,no,no,no,no,no,no,no,no,321
CACNA1G,3,yes,no,no,no,no,no,no,no,no,322
PARVB,3,yes,no,no,no,no,no,no,no,no,323
CCT8,3,yes,no,no,no,no,no,no,no,no,324
ROBO3,3,yes,no,no,no,no,no,no,no,no,325
LYPLA2,3,yes,no,no,no,no,no,no,no,no,326
EFNA4,3,yes,no,no,no,no,no,no,no,no,327
NTN4,3,yes,no,no,no,no,no,no,no,no,328
CLDN17,3,yes,no,no,no,no,no,no,no,no,329
CSNK2A2,3,yes,no,no,no,no,no,no,no,no,330
FES,3,yes,no,no,no,no,no,no,no,no,331
SLIT3,3,yes,no,no,no,no,no,no,no,no,332
COL4A1,3,yes,no,no,no,no,no,no,no,no,333
COL2A1,3,yes,no,no,no,no,no,no,no,no,334
SEMA5A,3,yes,no,no,no,no,no,no,no,no,335
ITGA5,3,yes,no,no,no,no,no,no,no,no,336
LIMK2,3,yes,no,no,no,no,no,no,no,no,337
NCAN,3,yes,no,no,no,no,no,no,no,no,338
VEGFA,3,yes,no,no,no,no,no,no,no,no,339
TBCE,3,yes,no,no,no,no,no,no,no,no,340
PLXNA1,3,yes,no,no,no,no,no,no,no,no,341
ITGA2,3,yes,no,no,no,no,no,no,no,no,342
ROBO2,3,yes,no,no,no,no,no,no,no,no,343
SDK2,3,yes,no,no,no,no,no,no,no,no,344
CACNB2,3,yes,no,no,no,no,no,no,no,no,345
LAMA1,3,yes,no,no,no,no,no,no,no,no,346
CDH9,3,yes,no,no,no,no,no,no,no,no,347
CDH7,3,yes,no,no,no,no,no,no,no,no,348
ALCAM,3,yes,no,no,no,no,no,no,no,no,349
CDH6,3,yes,no,no,no,no,no,no,no,no,350
RPS6KA3,3,yes,no,no,no,no,no,no,no,no,351
PLXNA4,3,yes,no,no,no,no,no,no,no,no,352
NR3C1,3,yes,no,no,no,no,no,no,no,no,353
CDH4,3,yes,no,no,no,no,no,no,no,no,354
DCC,3,yes,no,no,no,no,no,no,no,no,355
CDH2,3,yes,no,no,no,no,no,no,no,no,356
CDH18,3,yes,no,no,no,no,no,no,no,no,357
CDH12,3,yes,no,no,no,no,no,no,no,no,358
AGRN,3,yes,no,no,no,no,no,no,no,no,359
